127.0.0.1 - - [10/Aug/2023:09:28:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:24 +0900] "GET /ch2/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:28 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:28 +0900] "GET /ch2/resources/img/dice4.jpg HTTP/1.1" 200 17529
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:28 +0900] "GET /ch2/resources/img/dice5.jpg HTTP/1.1" 200 19916
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:30 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:30 +0900] "GET /ch2/resources/img/dice6.jpg HTTP/1.1" 200 23325
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:30 +0900] "GET /ch2/resources/img/dice2.jpg HTTP/1.1" 200 12292
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:31 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:31 +0900] "GET /ch2/resources/img/dice1.jpg HTTP/1.1" 200 9430
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:31 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:31 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:31 +0900] "GET /ch2/resources/img/dice3.jpg HTTP/1.1" 200 14610
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:31 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [10/Aug/2023:09:28:31 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
